tm     Tsp    T1     Q1    
 559.0  54.00  56.40  35.74 
 560.1  54.00  56.40  35.90 
 561.0  54.00  56.08  36.19 
 562.0  54.00  56.08  36.49 
 563.0  54.00  56.08  36.67 
 564.0  54.00  56.08  36.86 
 565.0  54.00  55.76  37.18 
 566.1  54.00  55.76  37.50 
 567.1  54.00  55.76  37.84 
 568.1  54.00  55.44  38.18 
 569.0  54.00  55.44  38.53 
 570.1  54.00  55.44  38.88 
 571.0  54.00  55.44  39.24 
 572.1  54.00  55.44  39.48 
 573.1  54.00  55.11  39.85 
 574.0  54.00  55.11  40.23 
 575.0  54.00  55.11  40.62 
 576.0  54.00  55.11  40.88 
 577.0  54.00  54.79  41.28 
 578.0  54.00  54.79  41.69 
 579.0  54.00  54.79  42.10 
 580.0  54.00  54.79  42.39 
 581.1  54.00  54.79  42.69 
 582.1  54.00  54.47  43.12 
 583.0  54.00  54.47  43.42 
 584.1  54.00  54.47  43.73 
 585.0  54.00  54.47  44.05 
 586.0  54.00  54.47  44.37 
 587.0  54.00  54.15  44.83 
 588.0  54.00  54.15  45.16 
 589.0  54.00  54.15  45.50 
 590.1  54.00  54.15  45.85 
 591.1  54.00  53.82  46.33 
 592.0  54.00  53.82  46.68 
 593.0  54.00  53.82  47.04 
 594.0  54.00  53.82  47.41 
 595.0  54.00  53.82  47.78 
 596.1  54.00  53.82  48.16 
 597.1  54.00  53.50  48.54 
 598.1  54.00  53.50  48.93 
 599.1  54.00  53.50  49.32 
 600.0  54.00  53.50  49.72 
 601.0  54.00  53.50  50.12 
 602.1  54.00  53.50  50.40 
 603.1  54.00  53.50  50.68 
 604.0  54.00  53.50  50.96 
 605.0  54.00  53.50  51.25 
 606.1  54.00  53.18  51.54 
 607.1  54.00  53.18  51.83 
 608.0  54.00  53.18  52.13 
 609.1  54.00  53.18  52.43 
 610.0  54.00  53.18  52.74 
 611.1  54.00  53.18  53.04 
 612.0  54.00  53.18  53.23 
 613.0  54.00  52.86  53.54 
 614.0  54.00  53.18  53.72 
 615.0  54.00  52.86  54.04 
 616.0  54.00  53.18  54.23 
 617.0  54.00  52.86  54.56 
 618.0  54.00  52.86  54.88 
 619.0  54.00  52.86  55.21 
 620.1  54.00  52.86  55.55 
 621.1  54.00  52.86  55.75 
 622.0  54.00  52.86  55.96 
 623.0  54.00  52.86  56.17 
 624.0  54.00  52.86  56.38 
 625.0  54.00  52.86  56.60 
 626.0  54.00  52.86  56.81 
 627.1  54.00  52.86  57.03 
 628.0  54.00  52.86  57.12 
 629.0  54.00  52.86  57.34 
 630.0  54.00  52.86  57.43 
 631.0  54.00  52.86  57.65 
 632.0  54.00  52.86  57.74 
 633.0  54.00  52.86  57.83 
 634.0  54.00  52.86  57.92 
 635.0  54.00  52.86  58.01 
 636.0  54.00  52.86  58.10 
 637.0  54.00  52.86  58.20 
 638.0  54.00  52.86  58.29 
 639.0  54.00  52.86  58.38 
 640.0  54.00  52.86  58.47 
 641.0  54.00  52.86  58.56 
 642.0  54.00  52.86  58.65 
 643.0  54.00  52.86  58.74 
 644.0  54.00  52.86  58.84 
 645.0  54.00  52.86  58.93 
 646.0  54.00  52.86  59.02 
 647.0  54.00  52.86  59.11 
 648.0  54.00  52.86  59.20 
 649.1  54.00  52.86  59.29 
 650.1  54.00  52.86  59.38 
 651.1  54.00  52.86  59.48 
 652.0  54.00  52.86  59.57 
 653.0  54.00  52.86  59.66 
 654.0  54.00  53.18  59.62 
 655.0  54.00  53.18  59.58 
 656.0  54.00  53.18  59.54 
 657.0  54.00  53.18  59.49 
 658.0  54.00  53.18  59.45 
 659.0  54.00  53.18  59.40 
 660.1  54.00  53.18  59.35 
 661.0  54.00  53.18  59.30 
 662.1  54.00  53.18  59.24 
 663.1  54.00  53.18  59.19 
 664.0  54.00  53.18  59.13 
 665.0  54.00  53.18  59.07 
 666.0  54.00  53.18  59.01 
 667.0  54.00  53.18  58.95 
 668.0  54.00  53.18  58.89 
 669.0  54.00  53.18  58.96 
 670.0  54.00  53.50  58.89 
 671.0  54.00  53.18  58.95 
 672.1  54.00  53.18  59.02 
 673.0  54.00  53.50  58.95 
 674.1  54.00  53.18  59.01 
 675.0  54.00  53.50  58.95 
 676.0  54.00  53.50  58.88 
 677.0  54.00  53.50  58.80 
 678.0  54.00  53.50  58.73 
 679.1  54.00  53.50  58.65 
 680.1  54.00  53.50  58.58 
 681.1  54.00  53.50  58.50 
 682.0  54.00  53.50  58.42 
 683.0  54.00  53.50  58.34 
 684.0  54.00  53.82  58.12 
 685.0  54.00  53.50  58.16 
 686.1  54.00  53.82  57.95 
 687.0  54.00  53.50  57.86 
 688.0  54.00  53.50  57.89 
 689.0  54.00  53.50  57.80 
 690.0  54.00  53.82  57.71 
 691.0  54.00  53.50  57.74 
 692.1  54.00  53.82  57.65 
 693.1  54.00  53.82  57.55 
 694.1  54.00  53.82  57.45 
 695.1  54.00  53.82  57.35 
 696.0  54.00  53.82  57.25 
 697.0  54.00  53.82  57.14 
 698.1  54.00  53.82  57.03 
 699.0  54.00  53.82  57.06 
 700.0  54.00  53.82  56.95 
 701.0  54.00  53.82  56.97 
 702.0  54.00  53.82  56.86 
 703.0  54.00  53.82  56.75 
 704.0  54.00  53.82  56.64 
 705.1  54.00  53.82  56.65 
 706.0  54.00  53.82  56.54 
 707.0  54.00  53.82  56.55 
 708.1  54.00  53.82  56.56 
 709.0  54.00  53.82  56.58 
 710.1  54.00  53.82  56.59 
 711.1  54.00  54.15  56.48 
 712.0  54.00  53.82  56.49 
 713.0  54.00  53.82  56.50 
 714.0  54.00  53.82  56.51 
 715.0  54.00  53.82  56.53 
 716.1  54.00  54.15  56.41 
 717.1  54.00  53.82  56.42 
 718.0  54.00  53.82  56.43 
 719.0  54.00  54.15  56.31 
 720.0  54.00  54.15  56.19 
 721.0  54.00  54.15  56.06 
 722.1  54.00  54.15  55.94 
 723.1  54.00  54.15  55.81 
 724.0  54.00  54.15  55.68 
 725.0  54.00  54.15  55.55 
 726.0  54.00  54.15  55.55 
 727.0  54.00  54.15  55.42 
 728.1  54.00  54.15  55.29 
 729.1  54.00  54.15  55.15 
 730.0  54.00  54.15  55.01 
 731.0  54.00  54.15  55.00 
 732.0  54.00  54.15  54.87 
 733.0  54.00  54.15  54.73 
 734.1  54.00  54.15  54.71 
 735.1  54.00  54.15  54.70 
 736.0  54.00  54.15  54.69 
 737.0  54.00  54.15  54.68 
 738.0  54.00  54.15  54.67 
 739.1  54.00  54.15  54.65 
 740.1  54.00  54.15  54.64 
 741.0  54.00  54.15  54.63 
 742.0  54.00  54.15  54.62 
 743.0  54.00  54.15  54.61 
 744.0  54.00  54.15  54.60 
 745.0  54.00  54.15  54.58 
 746.1  54.00  54.15  54.57 
 747.0  54.00  54.15  54.56 
 748.0  54.00  54.15  54.55 
 749.0  54.00  54.15  54.54 
 750.0  54.00  54.15  54.53 
 751.0  54.00  54.15  54.51 
 752.1  54.00  54.15  54.50 
 753.0  54.00  54.15  54.49 
 754.0  54.00  54.15  54.48 
 755.1  54.00  54.15  54.47 
 756.1  54.00  54.15  54.46 
 757.1  54.00  54.15  54.44 
 758.1  54.00  54.15  54.43 
 759.1  54.00  54.15  54.42 
 760.0  54.00  54.15  54.41 
 761.1  54.00  54.15  54.40 
 762.0  54.00  54.15  54.39 
 763.0  54.00  54.15  54.37 
 764.1  54.00  54.15  54.36 
 765.1  54.00  54.15  54.35 
 766.0  54.00  54.15  54.34 
 767.1  54.00  54.15  54.33 
 768.1  54.00  54.15  54.32 
 769.0  54.00  54.15  54.30 
 770.1  54.00  54.15  54.29 
 771.0  54.00  54.15  54.28 
