tm     Tsp    T1     Q1    
 546.0  63.00  62.85  70.52  66.09
 547.0  63.00  62.85  70.66  66.16
 548.0  63.00  62.85  70.66  66.16
 549.0  63.00  63.17  70.54  66.13
 550.0  63.00  62.85  70.54  66.12
 551.0  63.00  62.85  70.68  66.18
 552.0  63.00  62.85  70.82  66.25
 553.0  63.00  62.85  70.83  66.25
 554.0  63.00  62.85  70.97  66.32
 555.0  63.00  62.85  70.98  66.32
 556.0  63.00  63.17  70.86  66.27
 557.0  63.00  62.85  70.86  66.25
 558.0  63.00  62.85  70.87  66.24
 559.0  63.00  62.85  70.88  66.23
 560.0  63.00  62.85  70.89  66.24
 561.0  63.00  62.85  70.90  66.24
 562.0  63.00  62.85  70.91  66.25
 563.0  63.00  63.17  70.79  66.21
 564.0  63.00  62.85  70.92  66.25
 565.0  63.00  62.85  70.93  66.24
 566.0  63.00  62.85  70.94  66.23
 567.0  63.00  62.85  70.95  66.24
 568.0  63.00  62.85  70.96  66.24
 569.0  63.00  62.85  70.97  66.25
 570.0  63.00  62.85  70.98  66.25
 571.0  63.00  62.85  71.12  66.32
 572.0  63.00  63.17  70.99  66.27
 573.0  63.00  63.17  70.87  66.20
 574.0  63.00  62.85  70.88  66.17
 575.0  63.00  62.85  70.89  66.16
 576.0  63.00  62.85  70.89  66.16
 577.0  63.00  63.17  70.77  66.12
 578.0  63.00  62.85  70.91  66.16
 579.0  63.00  63.17  70.78  66.10
 580.0  63.00  62.85  70.79  66.07
 581.0  63.00  63.17  70.66  66.01
 582.0  63.00  62.85  70.67  65.99
 583.0  63.00  63.17  70.54  65.94
 584.0  63.00  62.85  70.54  65.91
 585.0  63.00  62.85  70.54  65.91
 586.0  63.00  62.85  70.54  65.92
 587.0  63.00  62.85  70.68  66.00
 588.0  63.00  62.85  70.81  66.07
 589.0  63.00  62.85  70.82  66.07
 590.0  63.00  63.17  70.69  66.04
 591.0  63.00  62.85  70.69  66.03
 592.0  63.00  63.17  70.70  66.04
 593.0  63.00  62.85  70.70  66.02
 594.0  63.00  63.17  70.70  66.03
 595.0  63.00  63.17  70.58  65.97
 596.0  63.00  62.85  70.71  66.00
 597.0  63.00  63.17  70.58  65.95
 598.0  63.00  63.17  70.58  65.94
 599.0  63.00  63.17  70.46  65.85
 600.0  63.00  63.17  70.33  65.77
 601.0  63.00  63.17  70.19  65.69
 602.0  63.00  63.17  70.06  65.61
 603.0  63.00  62.85  70.05  65.58
 604.0  63.00  63.17  69.92  65.53
 605.0  63.00  63.17  69.91  65.53
 606.0  63.00  63.17  69.77  65.46
 607.0  63.00  62.85  69.90  65.50
 608.0  63.00  63.17  69.76  65.45
 609.0  63.00  63.17  69.75  65.46
 610.0  63.00  63.17  69.74  65.46
 611.0  63.00  63.17  69.60  65.39
 612.0  63.00  62.85  69.72  65.44
 613.0  63.00  63.17  69.71  65.46
 614.0  63.00  63.17  69.71  65.47
 615.0  63.00  63.17  69.70  65.47
 616.0  63.00  63.17  69.69  65.46
 617.0  63.00  63.17  69.68  65.45
 618.0  63.00  63.17  69.54  65.39
 619.0  63.00  63.17  69.53  65.38
 620.0  63.00  63.17  69.52  65.37
 621.0  63.00  63.17  69.51  65.37
 622.0  63.00  62.85  69.50  65.35
 623.0  59.00  63.17  67.87  63.72
 624.0  59.00  63.17  66.22  61.61
 625.0  59.00  63.17  64.54  59.54
 626.0  59.00  62.85  62.98  57.75
 627.0  59.00  62.85  61.26  56.17
 628.0  59.00  62.85  59.66  54.85
 629.0  59.00  63.17  57.90  53.56
 630.0  59.00  62.85  56.25  52.30
 631.0  59.00  62.85  54.59  50.99
 632.0  59.00  62.85  52.90  49.62
 633.0  59.00  62.85  51.19  48.16
 634.0  59.00  62.85  49.47  46.65
 635.0  59.00  62.85  47.72  45.14
 636.0  59.00  62.85  45.96  43.72
 637.0  59.00  62.85  44.05  42.37
 638.0  59.00  62.85  43.86  42.49
 639.0  59.00  62.85  43.68  42.61
 640.0  59.00  62.53  43.63  42.78
 641.0  59.00  62.53  43.45  42.87
 642.0  59.00  62.53  43.28  42.97
 643.0  59.00  62.53  43.10  43.09
 644.0  59.00  62.53  43.06  43.32
 645.0  59.00  62.53  42.89  43.44
 646.0  59.00  62.53  42.73  43.56
 647.0  59.00  62.20  42.69  43.75
 648.0  59.00  62.20  42.66  43.96
 649.0  59.00  62.20  42.63  44.19
 650.0  59.00  62.20  42.61  44.43
 651.0  59.00  62.20  42.59  44.68
 652.0  59.00  61.88  42.70  44.97
 653.0  59.00  61.88  42.82  45.29
 654.0  59.00  61.88  42.94  45.63
 655.0  59.00  61.88  42.94  45.86
 656.0  59.00  61.56  43.07  46.16
 657.0  59.00  61.56  43.21  46.48
 658.0  59.00  61.56  43.35  46.83
 659.0  59.00  61.56  43.50  47.18
 660.0  59.00  61.56  43.65  47.53
 661.0  59.00  61.24  43.94  47.93
 662.0  59.00  61.24  44.11  48.25
 663.0  59.00  61.24  44.28  48.59
 664.0  59.00  60.91  44.58  48.99
